Approach,Prediction Horizon,Patient,Day,Hour,RMSE
pixtral-large-latest,6,001,4,0,5.95769750478358
pixtral-large-latest,6,001,4,1,4.99070666856123
pixtral-large-latest,6,001,4,2,7.566414808732069
pixtral-large-latest,6,001,4,3,7.03656505481289
pixtral-large-latest,6,001,4,4,9.07407686156305
pixtral-large-latest,6,001,4,5,5.17101768487778
pixtral-large-latest,6,001,4,6,21.143245260131877
pixtral-large-latest,6,001,4,7,20.60763948868004
pixtral-large-latest,6,001,4,8,19.448083774253355
pixtral-large-latest,6,001,4,9,12.951192539278686
pixtral-large-latest,6,001,4,10,34.48096111862462
pixtral-large-latest,6,001,4,11,4.955302942069597
pixtral-large-latest,6,001,4,12,18.27825624434157
pixtral-large-latest,6,001,4,13,13.02952189152292
pixtral-large-latest,6,001,4,14,8.758354273678838
pixtral-large-latest,6,001,4,15,10.27572865005148
pixtral-large-latest,6,001,4,16,9.80929646244435
pixtral-large-latest,6,001,4,17,6.822733820350668
pixtral-large-latest,6,001,4,18,36.42730231748968
pixtral-large-latest,6,001,4,19,57.49923176749276
pixtral-large-latest,6,001,4,20,11.834668004746545
pixtral-large-latest,6,001,4,21,9.768510672088597
pixtral-large-latest,6,001,4,22,30.234084770994993
pixtral-large-latest,6,001,4,23,6.622531824955932
pixtral-large-latest,6,001,5,0,9.104679537495873
pixtral-large-latest,6,001,5,1,3.2962978058798735
pixtral-large-latest,6,001,5,2,3.027366026645526
pixtral-large-latest,6,001,5,3,6.257755111041158
pixtral-large-latest,6,001,5,4,4.35396819830343
pixtral-large-latest,6,001,5,5,4.670154495214905
pixtral-large-latest,6,001,5,6,25.981696913907825
pixtral-large-latest,6,001,5,7,19.72942210767423
pixtral-large-latest,6,001,5,8,25.57750310077277
pixtral-large-latest,6,001,5,9,11.962009051520635
pixtral-large-latest,6,001,5,10,23.331712791138028
pixtral-large-latest,6,001,5,11,8.886990628891995
pixtral-large-latest,6,001,5,12,17.396194714369067
pixtral-large-latest,6,001,5,13,26.874963652761014
pixtral-large-latest,6,001,5,14,19.05753039744715
pixtral-large-latest,6,001,5,15,14.364254896783846
pixtral-large-latest,6,001,5,16,13.567829625887354
pixtral-large-latest,6,001,5,17,12.70106715488839
pixtral-large-latest,6,001,5,18,28.91696979539891
pixtral-large-latest,6,001,5,19,17.775832029103707
pixtral-large-latest,6,001,5,20,15.761796615026697
pixtral-large-latest,6,001,5,21,23.88920648868401
pixtral-large-latest,6,001,5,22,13.783440245962977
pixtral-large-latest,6,001,5,23,7.108503721536222
pixtral-large-latest,6,001,6,0,13.688255293429915
pixtral-large-latest,6,001,6,1,5.570994713565106
pixtral-large-latest,6,001,6,2,4.568491541764898
pixtral-large-latest,6,001,6,3,6.300192864542802
pixtral-large-latest,6,001,6,4,8.75477919058665
pixtral-large-latest,6,001,6,5,6.903373705404737
pixtral-large-latest,6,001,6,6,36.66602456034381
pixtral-large-latest,6,001,6,7,46.35470583485909
pixtral-large-latest,6,001,6,8,12.991342965464055
pixtral-large-latest,6,001,6,9,10.996225708809598
pixtral-large-latest,6,001,6,10,5.659078550838349
pixtral-large-latest,6,001,6,11,9.071364095822569
pixtral-large-latest,6,001,6,12,12.550720962266714
pixtral-large-latest,6,001,6,13,18.968003711590274
pixtral-large-latest,6,001,6,14,15.741589066349945
pixtral-large-latest,6,001,6,15,14.492964414599479
pixtral-large-latest,6,001,6,16,11.191772378378706
pixtral-large-latest,6,002,4,0,17.22733752289456
pixtral-large-latest,6,002,4,1,25.01826550542182
pixtral-large-latest,6,002,4,2,11.34005272439633
pixtral-large-latest,6,002,4,3,12.019192515894105
pixtral-large-latest,6,002,4,4,9.680251577206747
pixtral-large-latest,6,002,4,5,4.674298876626494
pixtral-large-latest,6,002,4,6,15.815647481505836
pixtral-large-latest,6,002,4,7,47.98471791373076
pixtral-large-latest,6,002,4,8,25.888897769997037
pixtral-large-latest,6,002,4,9,19.480223575226166
pixtral-large-latest,6,002,4,10,52.612831559267356
pixtral-large-latest,6,002,4,11,13.948359897294594
pixtral-large-latest,6,002,4,12,26.558179451507627
pixtral-large-latest,6,002,4,13,26.98672401346584
pixtral-large-latest,6,002,4,14,24.20800644084389
pixtral-large-latest,6,002,4,15,14.627788781014045
pixtral-large-latest,6,002,4,16,5.962430666543729
pixtral-large-latest,6,002,4,17,35.76298447141249
pixtral-large-latest,6,002,4,18,19.112543628779754
pixtral-large-latest,6,002,4,19,32.09156123043712
pixtral-large-latest,6,002,4,20,6.427503387876552
pixtral-large-latest,6,002,4,21,32.045397701350836
pixtral-large-latest,6,002,4,22,16.383119803347075
pixtral-large-latest,6,002,4,23,11.811535273579896
pixtral-large-latest,6,002,5,0,22.521159380783526
pixtral-large-latest,6,002,5,1,4.393085091776631
