Approach,Prediction Horizon,Patient,Day,Hour,RMSE
dietitian,6,001,4,0,7.659903751223296
dietitian,6,001,4,1,5.105539759823796
dietitian,6,001,4,2,5.853620332163718
dietitian,6,001,4,3,7.548982267138317
dietitian,6,001,4,4,10.632275277656099
dietitian,6,001,4,5,6.6211725489068
dietitian,6,001,4,6,20.83085269338175
dietitian,6,001,4,7,21.57642389864697
dietitian,6,001,4,8,17.660985158459507
dietitian,6,001,4,9,15.865934568069319
dietitian,6,001,4,10,34.391699285616546
dietitian,6,001,4,11,10.793359491235622
dietitian,6,001,4,12,20.418561959866985
dietitian,6,001,4,13,13.97929984646915
dietitian,6,001,4,14,9.918361475409675
dietitian,6,001,4,15,8.56853843433915
dietitian,6,001,4,16,13.212027717480035
dietitian,6,001,4,17,7.790727887739559
dietitian,6,001,4,18,34.184102869822965
dietitian,6,001,4,19,57.52388928693963
dietitian,6,001,4,20,14.123644696019968
dietitian,6,001,4,21,11.631800280201409
dietitian,6,001,4,22,34.051595640938515
dietitian,6,001,4,23,14.728105467089868
dietitian,6,001,5,0,4.567645007736312
dietitian,6,001,5,1,2.550744930268581
dietitian,6,001,5,2,2.923131067718313
dietitian,6,001,5,3,3.808979006620941
dietitian,6,001,5,4,3.3823646690347577
dietitian,6,001,5,5,3.406954974055756
dietitian,6,001,5,6,46.231922209544535
dietitian,6,001,5,7,22.243236432801755
dietitian,6,001,5,8,35.076145236969104
dietitian,6,001,5,9,19.510004174807083
dietitian,6,001,5,10,19.885547069491096
dietitian,6,001,5,11,4.446643926885144
dietitian,6,001,5,12,15.073148137834668
dietitian,6,001,5,13,21.689245965844457
dietitian,6,001,5,14,19.284471982909313
dietitian,6,001,5,15,14.449973991601862
dietitian,6,001,5,16,7.85272985672687
dietitian,6,001,5,17,13.671122311812788
dietitian,6,001,5,18,48.73925010352811
dietitian,6,001,5,19,25.154825796703335
dietitian,6,001,5,20,18.249697991717795
dietitian,6,001,5,21,19.705118248188203
dietitian,6,001,5,22,16.557678750093736
dietitian,6,001,5,23,7.3729459672127104
dietitian,6,001,6,0,11.971408646832812
dietitian,6,001,6,1,5.670316128361208
dietitian,6,001,6,2,5.305034669963919
dietitian,6,001,6,3,5.2440622525669465
dietitian,6,001,6,4,8.339242053235122
dietitian,6,001,6,5,7.251982627152671
dietitian,6,001,6,6,37.67117419677021
dietitian,6,001,6,7,33.04901974609708
dietitian,6,001,6,8,16.095948616249217
dietitian,6,001,6,9,18.914536981064508
dietitian,6,001,6,10,14.374580905487893
dietitian,6,001,6,11,12.471330523721285
dietitian,6,001,6,12,13.701602372109704
dietitian,6,001,6,13,12.102627824304676
dietitian,6,001,6,14,11.478144729387495
dietitian,6,001,6,15,11.42341443448146
dietitian,6,001,6,16,14.455149366377281
dietitian,6,002,4,0,15.692908624296754
dietitian,6,002,4,1,16.80640603659489
dietitian,6,002,4,2,9.117773057119816
dietitian,6,002,4,3,8.758199231361004
dietitian,6,002,4,4,6.142908296044326
dietitian,6,002,4,5,6.913106412072257
dietitian,6,002,4,6,5.043235090977995
dietitian,6,002,4,7,53.542887380024965
dietitian,6,002,4,8,31.174000531353816
dietitian,6,002,4,9,17.845159413946313
dietitian,6,002,4,10,56.05331823188425
dietitian,6,002,4,11,15.113073173559236
dietitian,6,002,4,12,34.79458572473337
dietitian,6,002,4,13,23.160950267700823
dietitian,6,002,4,14,13.43578364227835
dietitian,6,002,4,15,11.436603234424103
dietitian,6,002,4,16,4.767136377468121
dietitian,6,002,4,17,27.104703483033806
dietitian,6,002,4,18,10.58381097206108
dietitian,6,002,4,19,24.97927734658031
dietitian,6,002,4,20,11.254512720649972
dietitian,6,002,4,21,37.72939122609151
dietitian,6,002,4,22,30.013688218341137
dietitian,6,002,4,23,9.447750978093815
