horizon,patient,improvement_pct,p_value
6,1,3.412652793357989,0.006297583088400908
6,2,1.545905618408067,0.0741005333864946
6,3,-0.3599270652601418,0.6190265188585125
6,4,3.4793562518133156,0.00030269861056234803
6,5,2.175692803576832,0.004350572883151108
6,6,-1.2572870054601382,0.055263023131528366
6,7,1.2667280575491773,0.025925575756622136
6,8,-0.28994520851133726,0.7376243879385127
6,9,1.0772202487242932,0.269843393224781
6,10,0.5458326489383504,0.6062017339431505
6,11,2.476741580383587,0.003053104984603741
6,12,3.225443876949538,0.0007740839075188205
6,13,-0.36133376525858435,0.623023845906099
6,15,-0.23242779041518147,0.74336136552937
6,16,2.6765976652308705,0.002403920514719385
6,17,0.8186949819815879,0.21619038674962635
6,18,-1.2597623863326322,0.09104086219638426
6,19,2.6842287016455826,0.020156774626864344
6,20,-0.5662716882877216,0.4422521613939907
6,21,-0.40690441908058217,0.5451890093105305
6,22,1.436394973779682,0.029845122435132335
6,23,-0.3755408630692478,0.5994317907172197
6,24,-1.1664437858110939,0.1965821195790194
6,25,1.2511296371753733,0.1761681367430057
9,1,3.4189737173124692,0.019560876961871206
9,2,2.8702007565626833,0.013636129647735255
9,3,0.15435894412481316,0.864143659426793
9,4,7.243216416900877,4.999662336969799e-07
9,5,2.5670325285450586,0.00457648970206572
9,6,-1.28134437380203,0.11226462403498919
9,7,3.137805129243664,5.378203237978061e-05
9,8,0.6286407569072294,0.5848605066436752
9,9,1.8048918105495033,0.10454494680208638
9,10,0.5413846758501427,0.6854445917782268
9,11,4.585638645109989,0.00015813651405725598
9,12,4.413186927695585,0.000416714179692653
9,13,-0.3720899301850034,0.6771259491087973
9,15,1.7475695579006176,0.02295256154542301
9,16,4.370029125297091,2.5069702296191047e-05
9,17,1.4824840942244293,0.05573010420727345
9,18,0.5845863211828992,0.5802876440028976
9,19,3.6256473648241596,0.022819250079118485
9,20,0.10790607673143633,0.9168725713278497
9,21,-1.3012350584491283,0.08818969023159152
9,22,2.039894093361818,0.016633352481055106
9,23,0.5492613305640519,0.5334961372989393
9,24,-0.13175272905188012,0.9082539968388065
9,25,2.407394768826896,0.045587089805529966
12,1,3.9153801751837123,0.016313601967211273
12,2,3.434040851066306,0.00663220560297552
12,3,2.3794317680022434,0.015604944824943014
12,4,9.16003754528465,8.35397800859552e-08
12,5,2.5836817101794187,0.014720872984049208
12,6,-1.5241707379030154,0.08989208649648313
12,7,3.490210087111161,0.00013137136392732895
12,8,1.1089482131775674,0.3647758348610859
12,9,1.7373507523420195,0.1714211387601313
12,10,-0.20048650995191192,0.8877511955048912
12,11,5.409154150645346,0.00013390323859172065
12,12,4.9427388645193355,0.0008335613631791699
12,13,-1.5378145679773045,0.16043348918195924
12,15,2.0762735542850907,0.015065343521921083
12,16,4.906482098921666,3.8112469645351224e-05
12,17,0.4456659535474119,0.6151232462819103
12,18,1.028641314777406,0.3923774495352822
12,19,6.937734602090936,0.00019093486415063776
12,20,0.8409598449206177,0.43489116005647444
12,21,-2.196925334334112,0.00817661175539763
12,22,1.0615383939355716,0.2748728130321283
12,23,0.34307805077036785,0.7269841162641061
12,24,1.7677138327889135,0.15279735657723204
12,25,3.5351658125907974,0.015456480997830728
18,1,4.744633058955929,0.006987819768889344
18,2,1.4881789623752693,0.2908052923471739
18,3,2.8658470248946815,0.012980992510352634
18,4,8.452717173268075,4.4796504390213435e-06
18,5,2.0349023903142616,0.1420854806916753
18,6,-3.549043022707257,0.0005608751426624846
18,7,3.468330874389035,0.0011213213277369576
18,8,1.4795888315811758,0.3102820782164721
18,9,3.2237280670068134,0.06194314592243896
18,10,-0.004052395757849368,0.9975580046278364
18,11,6.766775354736554,7.034245924820676e-05
18,12,3.3424498559586646,0.050962027837858796
18,13,0.0227955116811045,0.9849864322218708
18,15,2.659313916231028,0.0012646935520432433
18,16,6.075798017859514,1.0526100489589935e-05
18,17,-0.5054340344443374,0.5914671095927589
18,18,1.0185541988647997,0.4984814995831802
18,19,5.4562718229368645,0.008401565618399689
18,20,1.6063542343592128,0.14312616686073457
18,21,-2.137005693006965,0.022360929615379155
18,22,1.2639336291165484,0.23549186435620684
18,23,-0.9191521728120634,0.396133896764453
18,24,1.458018485549987,0.32787720320628866
18,25,2.059443281596912,0.2015974278524967
24,1,3.507438267745313,0.04852877057452679
24,2,1.4189693975020834,0.29916590883568406
24,3,4.127041161856502,0.0033391046310985895
24,4,6.1742217798597006,0.00026814669049322014
24,5,1.8708037249284544,0.22735671741439664
24,6,-3.450449099027476,0.002673260350221137
24,7,3.7789547736455846,0.0004196757895000601
24,8,0.1022385340869695,0.9466291632545409
24,9,4.7903590472762865,0.016150141541189957
24,10,-0.6692707952505395,0.639160014217768
24,11,7.642150623175695,4.6291204849698376e-05
24,12,1.0747434373247395,0.5101216879549586
24,13,1.5962272994700495,0.17992167969923145
24,15,-1.3137806099044804,0.11579167771170128
24,16,6.83903433659208,7.005713653916885e-06
24,17,-2.2119678852937077,0.033355096110141626
24,18,3.3056646389358924,0.058199562455916426
24,19,3.010329784332434,0.1469066245486587
24,20,1.5432258872754114,0.17721052221296377
24,21,0.8446276650977141,0.366187609815121
24,22,0.30051660065239844,0.8028758523229915
24,23,-3.084931484654034,0.004994465167925683
24,24,1.0610577577755032,0.5011210398901287
24,25,1.881606795230505,0.2550316613828616
